,0,1,2,3,4,5,6,7,8,9,10
ECOG_LEFT_bursts_low beta_duration_max,-0.2501818680150278,-0.1610638579321183,-0.0677259528509851,-0.03395627816786384,-0.09328707010207848,-0.09395836203058167,-0.1470190646543792,-0.0496587705008088,-0.08632660270953385,-0.13017530642905495,-0.1288177838837996
ECOG_LEFT_bursts_low beta_amplitude_max,-0.2566040455914298,-0.16456743239404842,-0.06442401963104522,-0.032879346780619656,-0.09633931628144926,-0.09662353308325261,-0.15004039688020798,-0.048716709715605155,-0.08096213413257114,-0.12899960584033343,-0.13350009684583708
ECOG_LEFT_bursts_low beta_burst_rate_per_s,-0.25765869610920156,-0.16805572148319436,-0.06185311282681755,-0.031745886415313174,-0.09755271963640222,-0.09478169471138598,-0.14929256975481725,-0.055877289530967544,-0.08537992555715579,-0.12742417504537684,-0.1306485914324798
ECOG_LEFT_bursts_high beta_duration_mean,-0.27142248235807176,-0.17104413014705477,-0.060160359308269795,-0.04152695264871964,-0.09929467397377151,-0.0974139715613685,-0.14404474186748611,-0.05381120295185321,-0.08459289799910308,-0.1408351978564807,-0.13374555251933623
ECOG_LEFT_bursts_high beta_amplitude_mean,-0.23382306648578,-0.1748902228109142,-0.06459120128494705,-0.05071380733996267,-0.11617481662449342,-0.0944092430061263,-0.13622293344471903,-0.05469983671651485,-0.07236310012058234,-0.14711867280796959,-0.13051907504191235
ECOG_LEFT_bursts_high beta_duration_max,-0.23707391035060954,-0.17654354496029884,-0.06504079458293827,-0.04507091545490027,-0.11776557107259034,-0.09610816384526916,-0.13833372230741953,-0.06458326103028367,-0.07282154376214767,-0.1426609565609681,-0.13067733990718128
ECOG_LEFT_bursts_high beta_amplitude_max,-0.2681165284251478,-0.1707293448454068,-0.06488024773236123,-0.04265215449042681,-0.12043371385960439,-0.10621307076500547,-0.1455986498833184,-0.0609525782174109,-0.07133018076563524,-0.15546859976069927,-0.1402167534065893
ECOG_LEFT_bursts_high beta_burst_rate_per_s,-0.2740696368730582,-0.1728502648598767,-0.07087039987433463,-0.05033615023032745,-0.120514354473989,-0.10994644689258176,-0.1440502660756321,-0.06559587540074951,-0.07491360105444644,-0.16477392125965312,-0.14612634095091798
ECOG_LEFT_bursts_low gamma_duration_mean,-0.276785085633744,-0.17164117074850166,-0.07176850256685452,-0.047176574714787756,-0.12129160457886307,-0.10745177437120862,-0.1434690099329029,-0.061687984315496935,-0.07480813907886896,-0.16655401279858567,-0.14646805921371708
ECOG_LEFT_bursts_low gamma_amplitude_mean,-0.2784527788180658,-0.1750984211037141,-0.08229360026220944,-0.04811149456060293,-0.12075182004676732,-0.11175908186645772,-0.13788399929001227,-0.0612652021974639,-0.07467479404261312,-0.1715400121511072,-0.14693692406395426
ECOG_LEFT_bursts_low gamma_duration_max,-0.28109616635288487,-0.17723808500342697,-0.08611344717417302,-0.0494319719218681,-0.1216565976517816,-0.11179711537110576,-0.13741548010222132,-0.061196383703595036,-0.07395921919455828,-0.17631466291329345,-0.14808212643061336
ECOG_LEFT_bursts_low gamma_amplitude_max,-0.28008777367294524,-0.17259077094954844,-0.08564476258739029,-0.04727029318147169,-0.12449196872853274,-0.10944107819901322,-0.13938408083394416,-0.054031395098197044,-0.07398026718938344,-0.17060258540665107,-0.14730633197138115
ECOG_LEFT_bursts_low gamma_burst_rate_per_s,-0.28116292338099513,-0.17237237716373122,-0.08284784146245239,-0.04519701230402373,-0.1230876762990637,-0.10904058882313444,-0.14158098006094905,-0.06272912782899337,-0.07372995566756846,-0.17364405291631602,-0.14761098798002553
ECOG_LEFT_bursts_high gamma_duration_mean,-0.27602870915150185,-0.17197271463696895,-0.0870216646164606,-0.042825418130203796,-0.12675427482837037,-0.11219570303674603,-0.13972582016976332,-0.055075942576652936,-0.0758869836274717,-0.1710176650298671,-0.14626155626663884
ECOG_LEFT_bursts_high gamma_amplitude_mean,-0.2801569685057075,-0.15133981823691262,-0.1046859732505529,-0.039828193434213954,-0.12351841423452681,-0.11558172110938197,-0.13831920656509683,-0.0494594857004107,-0.08048043103994684,-0.17253366846074314,-0.14502523995924982
ECOG_LEFT_bursts_high gamma_duration_max,-0.28165409861324986,-0.15292349308738773,-0.10425429467594072,-0.037096446101585134,-0.12429663013197878,-0.11482684027316387,-0.13238283592401773,-0.04914124677859172,-0.07905110636701296,-0.17113402215193402,-0.14349874138500768
ECOG_LEFT_bursts_high gamma_amplitude_max,-0.2845350843921277,-0.15565115502928067,-0.09117526918594077,-0.03620211013276542,-0.12250850019397808,-0.11576457318736721,-0.1313700628050804,-0.04509234976106841,-0.07916411082832275,-0.17329688784652297,-0.14829579209630556
ECOG_LEFT_bursts_high gamma_burst_rate_per_s,-0.28348348097619214,-0.15695552879382652,-0.0967222999867916,-0.03554117073474283,-0.12256804290665829,-0.11228898873863946,-0.13432425023354894,-0.04319259260602276,-0.07776972212000666,-0.1737563400621458,-0.14704486665682093
ECOG_RIGHT_bursts_low beta_duration_mean,-0.28749679094179076,-0.15780188819283164,-0.08816228939331472,-0.039110937414660985,-0.12584401825862507,-0.11137632633671829,-0.1366184077950382,-0.04832054976489292,-0.07794496282219443,-0.17356893155381226,-0.14724018958126583
ECOG_RIGHT_bursts_low beta_amplitude_mean,-0.2698671823677163,-0.14920151206146537,-0.12208816264732342,-0.058348294234404685,-0.12351897237591114,-0.10675118083014468,-0.13055915192086787,-0.03328877934716723,-0.07376061863290273,-0.16730005783060953,-0.14484081815658978
ECOG_RIGHT_bursts_low beta_duration_max,-0.267026246002108,-0.14931666347915568,-0.11943144938668987,-0.059237891419483324,-0.12499019701769548,-0.10908277424128976,-0.13404606925398072,-0.036455624125889596,-0.07526732400855052,-0.16599308199829604,-0.14301005039920966
ECOG_RIGHT_bursts_low beta_amplitude_max,-0.2791535842950994,-0.15838150392567873,-0.10280299058915182,-0.043755630406450585,-0.12441900776594733,-0.10900252304101005,-0.13675795520118444,-0.04413402392006632,-0.07305766026070215,-0.17135796261665365,-0.14670139409242933
ECOG_RIGHT_bursts_low beta_burst_rate_per_s,-0.276833522407932,-0.15984649354644193,-0.10341335122664491,-0.04410120916398419,-0.1238919019566147,-0.10757121799188002,-0.13682945003560437,-0.04441704379485234,-0.07216301102145706,-0.1700650853113811,-0.14470756954217845
ECOG_RIGHT_bursts_high beta_duration_mean,-0.2787662558369466,-0.15928217426910896,-0.11251766008579905,-0.05040173023484318,-0.125180792154981,-0.10791238583547891,-0.1359955565109655,-0.04709738952912729,-0.0713987332569136,-0.1723833326216626,-0.14281065001183602
ECOG_RIGHT_bursts_high beta_amplitude_mean,-0.22850374631975257,-0.1447628356323883,-0.11852204287752321,-0.11441690014772554,-0.12211586467536728,-0.11286055739034595,-0.13699984145228133,-0.027271811830400894,-0.08601456642519179,-0.1581592356713517,-0.12968145563085842
ECOG_RIGHT_bursts_high beta_duration_max,-0.23376573863326972,-0.14715840206772102,-0.1182616685352802,-0.1123718091808612,-0.12276932874982432,-0.11351082969507342,-0.14125449192148726,-0.022592288695722107,-0.09026556454790002,-0.15699688494774533,-0.12765042026553192
ECOG_RIGHT_bursts_high beta_amplitude_max,-0.23400230164903607,-0.1553513887001025,-0.12739977564716476,-0.12570923677428114,-0.12441088124010918,-0.11385372196491261,-0.1410763802300724,-0.02097855006760202,-0.08063058597646044,-0.15576002124067634,-0.11767611901770708
ECOG_RIGHT_bursts_high beta_burst_rate_per_s,-0.24096717347928442,-0.15336296835752966,-0.1266659460096401,-0.13028331983011876,-0.12331752735694934,-0.11369993548180146,-0.14156912499773278,-0.021061396586844083,-0.08167697102595917,-0.1603895579133527,-0.1184454781772139
ECOG_RIGHT_bursts_low gamma_duration_mean,-0.23995651493762565,-0.15525697642611508,-0.12448880472647955,-0.13355003379036723,-0.121519597950285,-0.11396343524516422,-0.13966708285424323,-0.02173203025920717,-0.08137599278097374,-0.1607760939110856,-0.1191761209417947
ECOG_RIGHT_bursts_low gamma_amplitude_mean,-0.2378424220793368,-0.1616297116112827,-0.1852842967193119,-0.21907872142143697,-0.13015293065722927,-0.12206925943445934,-0.13479985967919372,-0.02735706172455027,-0.08996492573697179,-0.1604191428043284,-0.11800512699091048
ECOG_RIGHT_bursts_low gamma_duration_max,-0.23511571213959687,-0.16323597684979346,-0.18786247309273696,-0.22017385115378973,-0.12869598246194486,-0.12048078379946053,-0.1350206115437828,-0.028987378199374914,-0.08960260709230794,-0.1639021064449231,-0.11943326775117097
ECOG_RIGHT_bursts_low gamma_amplitude_max,-0.2387952082488744,-0.15954097865810213,-0.2069208983125912,-0.2282884821245959,-0.12666664609976847,-0.11733585527608337,-0.13022322856679752,-0.04054672081511562,-0.09060919936546563,-0.1655742795514939,-0.11924696894303921
ECOG_RIGHT_bursts_low gamma_burst_rate_per_s,-0.23606748081361284,-0.15985076650851138,-0.20502284105105922,-0.2285754189074194,-0.12909585041079252,-0.11634404785028374,-0.13053023671224112,-0.04115119169366421,-0.09034399416652161,-0.16837218944107113,-0.12089691401875785
ECOG_RIGHT_bursts_high gamma_duration_mean,-0.24067333493494014,-0.15765690077212446,-0.20562413245987676,-0.23208660063433922,-0.12396467595172495,-0.11657653220802955,-0.12907598590963953,-0.037118279516028585,-0.0940164337403322,-0.16397742779590058,-0.11967360057750748
